filename,lat,long,lat_norm,long_norm
01431825.jpg,-0.0011676,-0.0002491,0.06585403696592387,0.1259387319135816
01431836.jpg,-0.0011584,-0.0002914,0.07477550862085687,0.09488625101856542
01431847.jpg,-0.0011173,-0.0003448,0.11463121351409,0.05568524676811945
01431869.jpg,-0.0009947,-0.0003852,0.233519520567871,0.026027558159167817
01431880.jpg,-0.0009313,-0.0003997,0.29500009697251794,0.015383090712885652
01431891.jpg,-0.0008673,-0.000403,0.3570625084850953,0.012960556742352495
01431902.jpg,-0.0008019,-0.0004043,0.42048253524951024,0.012006225178203038
01431924.jpg,-0.0006731,-0.0004051,0.5453831384185721,0.011418944215649566
01431935.jpg,-0.0006083,-0.0004053,0.6082213300750567,0.011272123975011188
01431946.jpg,-0.0005463,-0.0004055,0.668344291227866,0.01112530373437281
01431957.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01431968.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432001.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432012.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432023.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432034.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432045.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432056.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432067.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432078.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432111.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432122.jpg,-0.0005448,-0.0004055,0.6697988789976921,0.01112530373437281
01432144.jpg,-0.0004919,-0.0004046,0.7210973410135567,0.011785994817245472
01432155.jpg,-0.0004594,-0.0003923,0.7526134093597874,0.02081543961650552
01432166.jpg,-0.0004292,-0.0003819,0.7818991097922848,0.028450092129700975
01432177.jpg,-0.0003841,-0.0003766,0.8256337154050541,0.03234082850661791
01432188.jpg,-0.000319,-0.0003573,0.8887628246155039,0.04650898172822103
01432199.jpg,-0.0002716,-0.0003132,0.9347277981420066,0.07888284478898258
01432210.jpg,-0.0002564,-0.0002492,0.9494676208762437,0.1258653217932624
01432232.jpg,-0.0002531,-0.0001203,0.9526677139698609,0.22049096688469472
01432243.jpg,-0.0002531,-5.61e-05,0.9526677139698609,0.2676202641296129
01432254.jpg,-0.0002532,8.5e-06,0.9525707414518727,0.3150432018558078
01432265.jpg,-0.0002534,7.32e-05,0.9523767964158958,0.36253954970232194
01432276.jpg,-0.0002536,0.0001373,0.9521828513799189,0.40959543682692096
01432287.jpg,-0.0002538,0.0002024,0.9519889063439422,0.4573854251547118
01432298.jpg,-0.0002539,0.0002663,0.9518919338259537,0.5042944920386724
01432309.jpg,-0.0002541,0.0003298,0.9516979887899769,0.5509099184413563
01432331.jpg,-0.0002545,0.000459,0.9513100987180233,0.6457557938937463
01432342.jpg,-0.0002547,0.000523,0.9511161536820464,0.6927382708980261
01432353.jpg,-0.0002549,0.0005701,0.9509222086460697,0.7273144375683632
01432386.jpg,-0.0002549,0.0005699,0.9509222086460697,0.7271676173277247
01432397.jpg,-0.0002549,0.0005699,0.9509222086460697,0.7271676173277247
01432408.jpg,-0.0002549,0.0005699,0.9509222086460697,0.7271676173277247
01432419.jpg,-0.0002549,0.0005699,0.9509222086460697,0.7271676173277247
01432452.jpg,-0.000255,0.0006356,0.9508252361280812,0.7753980663774309
01432463.jpg,-0.0002551,0.000703,0.9507282636100928,0.8248764874725629
01432474.jpg,-0.0002561,0.0007627,0.9497585384302089,0.8687023293031177
01432496.jpg,-0.0002616,0.000813,0.9444250499408466,0.9056276198236689
01432507.jpg,-0.0002865,0.0008699,0.9202788929617346,0.9473979782852864
01432518.jpg,-0.0003351,0.0009078,0.8731502492193711,0.9752204138862582
01432540.jpg,-0.000447,0.0009272,0.7646380015903492,0.9894619772281807
01432551.jpg,-0.000485,0.000923,0.7277884447547566,0.9863787521747749
01432562.jpg,-0.000547,0.0009211,0.6676654836019472,0.9849839598887103
01432573.jpg,-0.000609,0.0009202,0.607542522449138,0.9843232688058375
01432595.jpg,-0.0007378,0.000913,0.482641919280076,0.979037740142856
01432628.jpg,-0.0009276,0.0008709,0.29858808013808885,0.9481320794884783
01432639.jpg,-0.0009886,0.0008485,0.23943484416516353,0.9316882125369803
01432650.jpg,-0.0010439,0.000816,0.18580904171757728,0.9078299234332444
01432683.jpg,-0.0011586,0.0006629,0.07458156358487995,0.7954390292245689
01432694.jpg,-0.0011706,0.0005995,0.06294486142627184,0.7488970129422042
01432705.jpg,-0.0011727,0.000535,0.0609084385485153,0.7015474853363284
01432716.jpg,-0.0011732,0.0004698,0.060423575958573436,0.6536840868882184
01432727.jpg,-0.0011732,0.0004056,0.060423575958573436,0.6065547896433001
